decade,silver_dm,silver_kg,gold_dm,gold_kg,,,,,,,,,,,,,,,
1493–1500,103200,376000,129600,46400,,,,,,,,,,,,,,,
1501–1510,129000,470000,162000,58000,,,,,,,,,,,,,,,
1511–1520,129000,470000,162000,58000,,,,,,,,,,,,,,,
1521–1530,230000,900000,200000,71600,,,,,,,,,,,,,,,
1531–1540,230000,900000,200000,71600,,,,,,,,,,,,,,,
1541–1550,620000,2843000,220000,78350,,,,,,,,,,,,,,,
1551–1560,770000,3116000,240000,85100,,,,,,,,,,,,,,,
1561–1570,728000,2995000,191000,68400,,,,,,,,,,,,,,,
1571–1580,728000,2995000,191000,68400,,,,,,,,,,,,,,,
1581–1590,989000,4190000,206000,73800,,,,,,,,,,,,,,,
1591–1600,989000,4190000,206000,73800,,,,,,,,,,,,,,,
1601–1610,664000,4230000,238000,85200,,,,,,,,,,,,,,,
1611–1620,664000,4230000,238000,85200,,,,,,,,,,,,,,,
1621–1630,783260,3936000,231570,83000,,,,,,,,,,,,,,,
1631–1640,783260,3936000,231570,83000,,,,,,,,,,,,,,,
1641–1650,703300,3663000,244680,87770,,,,,,,,,,,,,,,
1651–1660,703300,3663000,244680,87770,,,,,,,,,,,,,,,
1661–1670,626820,3370000,258350,92600,,,,,,,,,,,,,,,
1671–1680,626820,3370000,258350,92600,,,,,,,,,,,,,,,
1681–1690,635930,3419000,300350,107650,,,,,,,,,,,,,,,
1691–1700,635930,3419000,300350,107650,,,,,,,,,,,,,,,
1701–1710,650750,3556000,357680,128200,,,,,,,,,,,,,,,
1711–1720,650750,3556000,357680,128200,,,,,,,,,,,,,,,
1721–1730,797720,4312000,532330,190800,,,,,,,,,,,,,,,
1731–1740,797720,4312000,532330,190800,,,,,,,,,,,,,,,
1741–1750,1007640,5331450,686620,246100,,,,,,,,,,,,,,,
1751–1760,1007640,5331450,686620,246100,,,,,,,,,,,,,,,
1761–1770,1240210,6527400,577670,207050,,,,,,,,,,,,,,,
1771–1780,1240210,6527400,577670,207050,,,,,,,,,,,,,,,
1781–1790,1626260,8790600,496340,177900,,,,,,,,,,,,,,,
1791–1800,1626260,8790600,496340,177900,,,,,,,,,,,,,,,
1801–1810,1600530,8941500,496000,177780,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,.,.,.,.,.,,,,,,,0
