decade,carribean,mexico,peru,new granada,ecuador,chile,brazil,other
1493–1500,1086,,,,,,,
1501–1510,2718,,,,,,,
1511–1520,1177,,,,,,,
1521–1530,3719,2358,,,,,,
1531–1540,2404,3769,8541,2264,257,,,
1541–1550,1393,1256,4827,2089,868,3102,,
1551–1560,53,124,3533,5593,2549,4653,,
1561–1570,,124,1183,7604,3226,1590,,
1571–1580,,78,1104,7977,6143,4873,,
1581–1590,,82,1002,6728,6442,1551,,
1591–1600,,1483,161,125411,3486,776,,
1601–1610,,3535,80,139341,2076,155,,
1611–1620,,4010,1,111531,927,71,,
1621–1630,,4428,0,8951,1985,23,,
1631–1640,,3924,0,3548,635,19,,
1641–1650,,2427,0,7885,131,0,,
1651–1660,,2687,2,7540,202,0,,
1661–1670,,2943,70,4105,233,0,,
1671–1680,,2372,80,4406,194,0,,
1681–1690,,2186,267,6437,194,0,,
1691–1700,,2740,550,4950,339,60,4327,
1701–1710,,2212,620,5140,291,15,43270,
1711–1720,,2498,404,7499,339,188,46563,
1721–1730,,2555,332,8570,144,254,103315,
1731–1740,,4816,286,102101,96,426,137930,
1741–1750,,7411,257,147931,48,709,145430,
1751–1760,,7493,191,177591,2012,1108,111680,
1761–1770,,9897,1299,205012,1676,6673,107930,
1771–1780,,12220,5844,226812,1789,9134,107930,128
1781–1790,,8738,11758,278692,4049,9243,92930,592
1791–1800,,15422,15725,331303,4846,9137,70430,802
1801–1810,,23843,11747,345353,914,11560,37715,2590
