decade,caja_mexico,caja_durango,caja_zacatecas,caja_san luis potosi,caja_guadaljara,caja_guanajuato,caja_zimapan,caja_pachuca,caja_rosario,caja_chihuahua
1521–1530,2358,,,,,,,,,
1531–1540,3769,,,,,,,,,
1541–1550,1256,,,,,,,,,
1551–1560,124,,,,,,,,,
1561–1570,124,,,,,,,,,
1571–1580,78,,,,,,,,,
1581–1590,82,,,,,,,,,
1591–1600,1483,,,,,,,,,
1601–1610,3526,6,3,,,,,,,
1611–1620,4010,0,0,,,,,,,
1621–1630,3260,0,0,1168,,,,,,
1631–1640,143,0,0,3781,,,,,,
1641–1650,65,0,0,2358,4,,,,,
1651–1660,724,11,0,1936,16,,,,,
1661–1670,517,0,0,2215,98,113,,,,
1671–1680,49,0,2,1532,503,286,,,,
1681–1690,38,0,0,1494,422,232,,,,
1691–1700,274,0,0,1736,273,457,,,,
1701–1710,307,0,0,1677,66,162,,,,
1711–1720,317,0,0,1955,58,168,,,,
1721–1730,306,0,0,1736,224,284,5,,,
1731–1740,687,0,5,1561,370,2182,6,5,,
1741–1750,1001,584,7,1243,404,3911,209,52,,
1751–1760,910,2859,18,904,605,1136,1024,37,,
1761–1770,1312,3529,73,1117,1675,1695,294,22,180,
1771–1780,1649,1000,106,1468,537,2461,239,21,4739,
1781–1790,798,1289,171,650,634,2111,134,32,2901,18
1791–1800,2079,5428,48,372,490,2384,60,18,4279,264
1801–1810,3340,9797,20,264,357,3727,45,27,4849,1417
